ltable_id,ltable_title,rtable_id,rtable_title
1757,Hamlet,11,Hamlet
3547,Home for the Holidays,22,Home for the Holidays
502,Hot Fuzz,36,Hot Fuzz
3688,Drop Dead Gorgeous,57,Drop Dead Gorgeous
3517,Bye Bye Birdie,98,Bye Bye Birdie
2558,The Butterfly Effect,123,The Butterfly Effect
4100,Mystic Pizza,135,Mystic Pizza
1135,Mystic River,139,Mystic River
114,Butch Cassidy and the Sundance Kid,141,Butch Cassidy and the Sundance Kid
1289,Mystery Train,151,Mystery Train
2498,Mystery Science Theater 3000: The Movie,154,Mystery Science Theatre 3000
4076,Mystery Team,156,Mystery Team
3168,Mystery Men,157,Mystery Men
3222,"Mystery, Alaska",160,"Mystery, Alaska"
3440,My Week with Marilyn,192,My Week with Marilyn
3591,Bus Stop,194,Bus Stop
1822,Burn After Reading,234,Burn After Reading
1754,My Own Private Idaho,245,My Own Private Idaho
2296,Buried,256,Buried
2552,Bulworth,295,Bulworth
3398,Bully,297,Bully
691,Bullitt,313,Bullitt
682,Bullets Over Broadway,314,Bullets Over Broadway
105,Bull Durham,323,Bull Durham
2885,My Girl,341,My Girl
2486,Bugsy,344,Bugsy
1186,A Bug's Life,348,A Bug's Life
3556,Buffy the Vampire Slayer,349,Buffy the Vampire Slayer
1540,Buffalo '66,354,Buffalo '66
1975,The Buddy Holly Story,376,The Buddy Holly Story
1760,My Favorite Year,386,My Favorite Year
349,My Fair Lady,401,My Fair Lady
3314,The Bucket List,411,The Bucket List
1196,My Dinner with Andre,418,My Dinner with Andre
582,My Cousin Vinny,442,My Cousin Vinny
2445,Brubaker,462,Brubaker
2025,Bruce Almighty,465,Bruce Almighty
2613,My Bodyguard,470,My Bodyguard
2556,My Blue Heaven,472,My Blue Heaven
3982,My Best Friend's Wedding,482,My Best Friend's Wedding
3194,Brothers,512,Brothers
2600,Mutiny on the Bounty,528,Mutiny on The Bounty
2617,The Brother from Another Planet,538,The Brother from Another Planet
645,The Brood,549,The Brood
2186,Brooklyn,555,Brooklyn
1731,The Music Man,562,The Music Man
1490,A Bronx Tale,569,A Bronx Tale
2655,Broken Flowers,600,Broken Flowers
1977,Murmur of the Heart,604,Murmur of the Heart
3732,Murderball,612,Murderball
1314,Murder on the Orient Express,615,Murder on the Orient Express
822,Brokeback Mountain,632,Brokeback Mountain
2938,Murder in the First,637,Murder in the First
599,Murder by Death,643,Murder by Death
762,Broadway Danny Rose,649,Broadway Danny Rose
825,Broadcast News,655,Broadcast News
1798,The Muppets Take Manhattan,664,The Muppets Take Manhattan
1708,The Muppets,667,The Muppets
2051,Bringing Out the Dead,670,Bringing Out The Dead
3427,Muppet Treasure Island,678,Muppet Treasure Island
399,The Muppet Movie,680,The Muppet Movie
1854,The Muppet Christmas Carol,681,The Muppet Christmas Carol
1667,Munich,691,Munich
4035,Bring It On,692,Bring it On
4180,Bright Star,701,Bright Star
1435,The Mummy,703,The Mummy
3625,The Mummy Returns,705,The Mummy Returns
4265,Mumford,711,Mumford
4017,Multiplicity,712,Multiplicity
3599,Bridget Jones's Diary,723,Bridget Jones's Diary
2374,The Bridges of Madison County,725,The Bridges of Madison County
1021,Mulholland Drive,738,Mulholland Drive
1643,A Bridge Too Far,741,A Bridge Too Far
835,The Bridge on the River Kwai,747,The Bridge on the River Kwai
1852,Bridge of Spies,754,Bridge of Spies
1850,Bridesmaids,755,Bridesmaids
1610,Mulan,760,Mulan
897,Bride of Frankenstein,776,Bride of Frankenstein
2030,Pride & Prejudice,782,Bride & Prejudice
2721,Brewster's Millions,800,Brewster's Millions
1350,Much Ado About Nothing,812,Much Ado About Nothing
1968,Mrs. Miniver,839,Mrs. Miniver
3960,Mrs Brown,849,Mrs. Brown
1224,Mrs. Doubtfire,851,Mrs. Doubtfire
602,Breaking the Waves,867,Breaking the Waves
243,Mr. Smith Goes to Washington,873,Mr. Smith Goes To Washington
88,Breaking Away,890,Breaking Away
3515,Breakfast on Pluto,898,Breakfast on Pluto
275,The Breakfast Club,900,The Breakfast Club
197,Breakfast at Tiffany's,901,Breakfast at Tiffany's
2459,Mr. Mom,905,Mr. Mom
2893,Breakdown,918,Breakdown
1942,Mr. Holland's Opus,931,Mr. Hollandâ€™s Opus
397,Mr. Deeds Goes to Town,936,Mr. Deeds Goes To Town
3814,Cyrus,946,Cyrus
193,Brazil,955,Brazil
2766,Breach,956,Breach
866,Braveheart,963,Braveheart
2929,Mr. & Mrs. Smith,974,Mr. and Mrs. Smith
2874,The Cutting Edge,985,The Cutting Edge
2853,The Brave Little Toaster,999,The Brave Little Toaster
2386,Brave,1003,Brave
1694,Moulin Rouge!,1065,Moulin Rouge
3672,Brainstorm,1091,Brainstorm
1698,The Motorcycle Diaries,1102,The Motorcycle Diaries
740,Boyz n the Hood,1136,Boyz n the Hood
3387,Cujo,1162,Cujo
1306,The Boys from Brazil,1184,The Boys from Brazil
1049,Boys Don't Cry,1189,Boys Don't Cry
4167,Mother,1192,Mother
1971,Motel Hell,1195,Motel Hell
285,Boyhood,1212,Boyhood
3142,Mothra vs. Godzilla,1214,Mothra vs. Godzilla
2732,A Most Violent Year,1226,A Most Violent Year
3139,The Boy in the Striped Pajamas,1253,The Boy in the Striped Pyjamas
1311,The Most Dangerous Game,1255,The Most Dangerous Game
1982,The Mosquito Coast,1260,The Mosquito Coast
4062,Moscow on the Hudson,1263,Moscow on the Hudson
1884,The Crying Game,1268,The Crying Game
4121,A Cry in the Dark,1275,A Cry in the Dark
3299,Cry-Baby,1280,Cry-Baby
3791,Cry Freedom,1281,Cry Freedom
3311,The Boxer,1295,The Boxer
2608,Cruising,1324,Cruising
3342,Bowfinger,1329,Bowfinger
2170,Bowling for Columbine,1330,Bowling for Columbine
2452,The Bounty,1337,The Bounty
331,The Bourne Supremacy,1338,The Bourne Supremacy
